Item Name,Type
Aerosols,Aerosols
Aluminium trays,Cans
Animal bedding,Animal
Animal waste,Animal
Armchairs,Furniture
Asbestos,Asbestos
"Bathroom suites - toilets, sinks and baths",Bathroom Suites
Batteries,Batteries
Bean Bags,Furniture
Bedding and blankets,Clothing and Textiles
Beds,Furniture
Beer bottles,Glass
Bicycles,Other
Birthday cards,Paper and Cardboard
Biscuit and sweet tins,Cans
Biscuit packaging,Plastic
Biscuit packets,Plastic
Biscuit wrappers,Plastic
Black plastic packaging,Plastic
Blister packs,Medicines
Books,Books
Bras,Other
Bubble wrap,Plastic
Building materials,Building Materials
Buttons,Other
Cake packets,Plastic
Cake wrappers,Plastic
Cameras and camcorders,Electrical Appliances
Cans,Cans
Car batteries,Batteries
Car oil,Oils
Cardboard,Paper and Cardboard
Carpet and rugs,Clothing and Textiles
Carrier bags,Plastic
Cars,Cars
Cartons,Plastic
Cat litter,Animal
Cellophane,Plastic
Cereal bags,Plastic
Cheese packet,Plastic
Cheese wrap,Plastic
Cheese wrapping,Plastic
Chewing gum wrappers,Plastic
Chocolate packet,Plastic
Chocolate pouches,Plastic
Chocolate wrapper,Plastic
Christmas cards,Paper and Cardboard
Christmas jumper,Clothing and Textiles
Christmas tree lights,Light Bulbs
Christmas trees,Other
Cling film,Plastic
Clinical waste,Hazardous Waste
Clothes,Clothing and Textiles
Clothing and textiles,Clothing and Textiles
Coal ash,Other
Coffee pods and capsules,Plastic
Coffee pouches,Plastic
Coins,Other
Compostable plastics,Plastic
"Computers (PCs), laptops, tablets and monitors",Electrical Appliances
Confectionary wrapper,Plastic
Confectionery wrappers,Plastic
Cooking oil and fats,Oils
Corks,Wood and Timber
Corporate workwear and uniforms,Clothing and Textiles
Cosmetic wipes,Other
Cotton buds,Clothing and Textiles
Cotton wool,Clothing and Textiles
Crisp packets,Plastic
Crockery,Crockery and Cutlery
Crutches,Other
Cupboards and drawers,Furniture
Curtains,Clothing and Textiles
Cushions,Clothing and Textiles
Cutlery,Crockery and Cutlery
"Diesel, petrol, brake and anti-freeze fluid",Cars
Disposable cutlery,Crockery and Cutlery
Disposable nappies,Other
Disposable plates and bowls,Crockery and Cutlery
"DIY waste - bricks, rubble, hardcore rubbish & plasterboard",Building Materials
Drinking glasses,Drinking Glass
Drinks cans,Cans
Drinks cartons,Plastic
Dry food bags,Plastic
Duvets and pillows,Clothing and Textiles
DVD & CD players,Electrical Appliances
DVDs & CDs,Electrical Appliances
Electrical items,Electrical Appliances
Electronic toothbrush heads,Electrical Appliances
Engine oil,Oils
Envelopes,Paper and Cardboard
Eyeshadow & brow palettes & compacts,Plastic
Face and hair mask packaging (single use),Plastic
Film lids,Plastic
Fire extinguishers,Other
Fish packet,Plastic
Fish wrapping,Plastic
Fluorescent tubes,Light Bulbs
Foil,Cans
Foil trays,Cans
Food and drink cartons,Plastic
Food and drink pouches,Plastic
Food blenders and mixers,Electrical Appliances
Food tins and drink cans,Cans
Food waste,Food Waste
Fruit and Vegetable Nets,Plastic
Furniture,Furniture
Futons,Furniture
Games consoles and electronic games,Electrical Appliances
Garden waste,Garden Waste
